ytid,start_time,class,set
0ebNxEwkcok,24,printer printing,train
0eaOknT-OS8,1,"female speech, woman speaking",train
2-b0WGX6Kog,24,playing sitar,train
0E56_Xm7mWI,30,"playing marimba, xylophone",train
0e47JpKHBm8,306,playing flute,train
0e8i7g90U6I,30,male singing,test
3orrFzLPc5Q,39,playing erhu,train
2aUsiNodEM4,31,dog barking,train
2AxAYXhrLGg,50,baby crying,train
2-b0WGX6Kog,36,playing sitar,test
0e4OKN5XU4Y,30,lawn mowing,test
0e4KuIw9ZP4,0,frog croaking,test
3OSmd4IRd1w,400,"race car, auto racing",train
0E3MxE0zPac,113,ice cracking,train
0E3MxE0zPac,86,ice cracking,train
2AxAYXhrLGg,61,baby crying,train
2AyYPQ39HJE,30,wind noise,test
0E_AOrnZT6Q,30,"male speech, man speaking",train
3oMl8hcL2_s,30,female singing,train
2aUsiNodEM4,41,dog barking,train
2Az1fQn8zOo,28,cat hissing,train
2b3wZ2zKHpM,22,"subway, metro, underground",train
0dxxgy3H8sQ,459,train horning,train
0dxxgy3H8sQ,224,train horning,test
2b3wZ2zKHpM,80,"subway, metro, underground",test
0DWZ97-ZdQE,290,playing mandolin,train
0DWZ97-ZdQE,201,playing mandolin,test
3OTevWiAa5E,90,"playing marimba, xylophone",train
2b4_qmTABrI,120,playing french horn,test
0dwf7HFTFD8,14,playing acoustic guitar,train
0dWF5opVEXg,40,playing saxophone,test
2B_tR_2Ww6Y,20,lions growling,train
2b4_qmTABrI,273,playing french horn,train
0DVTRYPxWuw,30,playing harp,test
3Otf6jRNoqA,52,playing gong,train
2B_zTO1E9T4,320,"race car, auto racing",train
3Otf6jRNoqA,154,playing gong,test
0Du73o7tUnU,33,woodpecker pecking tree,train
0Du73o7tUnU,0,woodpecker pecking tree,train
2AUKGLpg3jU,6,child singing,test
3oqAUFCk32s,30,wind noise,train
0Dsj7uXhs-8,440,church bell ringing,test
3op_kCAYePo,30,playing bass drum,train
3Ot-Rgo1tPo,0,car engine knocking,test
2Aq5I6Fz368,30,sailing,train
2Aq5VzHoRws,100,people crowd,train
3Ot-Rgo1tPo,17,car engine knocking,train
2AssTM5zZsI,63,bowling impact,train
0d-mPaguXrE,30,car passing by,train
0dMJ7dlPzWs,90,chainsawing trees,test
3oRgfwIXPEE,39,playing glockenspiel,train
0DLQxoJg0UM,186,playing table tennis,train
2B5dgEFnXAE,0,skidding,train
0dKrsUHcSbA,135,baby babbling,test
0dKrsUHcSbA,27,baby babbling,test
0dKPjNKg-Ec,80,playing clarinet,train
2B5Y_B1fWI8,69,barn swallow calling,train
0dJQx8wpIkE,30,playing bass guitar,train
0DJjcxZ5amo,40,playing saxophone,test
2B8_a_VLAyU,75,playing bassoon,train
0DjbjUvK_TU,20,"cattle, bovinae cowbell",train
0DjbjUvK_TU,0,"cattle, bovinae cowbell",train
2B8_a_VLAyU,261,playing bassoon,test
0dIqY3M1BB8,4,people burping,train
2b8vO9O9Nps,30,church bell ringing,test
0-diKbePjAg,7,playing bassoon,train
0DIJeyCA0sg,30,playing electric guitar,train
3opGxvlhDGw,35,francolin calling,test
3oRgfwIXPEE,76,playing glockenspiel,train
2B9dQteDEyc,12,people cheering,train
0DGYzX1mUow,10,"railroad car, train wagon",train
2B9dQteDEyc,44,people cheering,train
0DGd2cIGoF0,50,playing cymbal,train
2AYMWvUkIYs,30,playing acoustic guitar,train
2bQ-fYvnFYI,10,cattle mooing,train
0DeQjkh38MQ,72,train whistling,train
3P1f0OHUxAc,230,machine gun shooting,test
2BeMHHnwBNU,93,playing darts,train
2BgpbMPdt3s,30,playing electric guitar,train
2bjlHGAwoGY,0,people whistling,train
2blH6762DuM,30,playing acoustic guitar,train
3p1k2UL5Q8A,63,crow cawing,test
2bQ-fYvnFYI,23,cattle mooing,train
0dcOangSEr0,30,playing acoustic guitar,train
0dcLUU7-fgk,125,people marching,test
3p1k2UL5Q8A,155,crow cawing,test
0dCfJew75yU,226,mynah bird singing,train
0dCfJew75yU,195,mynah bird singing,train
2bBpql9IcDE,620,driving snowmobile,test
3oZgMPvdxtQ,30,"motorboat, speedboat acceleration",train
2bkt921znv8,125,people gargling,test
3OZq64bJ6P4,40,playing accordion,train
0D91A_uZK0M,30,male singing,train
0d9u2CymIxc,130,helicopter,test
0d7kKuVHLxc,30,"playing violin, fiddle",test
0d6YcY-uBgI,30,playing acoustic guitar,test
2brkecipIPQ,72,playing harp,train
0D4dOQgFwqg,140,church bell ringing,test
0D4CW2-87yk,189,playing badminton,train
3-OUPKpkQVE,34,scuba diving,train
3-OUPKpkQVE,405,scuba diving,train
3OxJ7KtIb2A,100,playing saxophone,train
3p0EJX_ALfs,176,playing badminton,test
3p5QFkV7auM,32,arc welding,train
2bG7vNnDujU,30,male singing,train
3P6LvIMH3pI,30,male singing,test
2bkvfLDPzHk,133,playing mandolin,train
2bnzTqx2P2g,61,"ice cream truck, ice cream van",train
3p8RkDtYEgE,50,"motorboat, speedboat acceleration",train
0CyDJGb0W84,27,cat purring,test
0CyDJGb0W84,7,cat purring,train
3p9aVzs8aYA,30,female singing,test
0cVxX7se82g,30,playing acoustic guitar,test
3P20BVpnAOU,67,singing bowl,test
2bAYEFawJZs,30,playing piano,train
3P0yQm4xM_g,100,driving motorcycle,train
2bBpql9IcDE,256,driving snowmobile,train
2bel0qC3-oo,476,playing saxophone,train
2bg90-ErSrc,30,playing electric guitar,train
2BIVdB6Ae1c,345,vacuum cleaner cleaning floors,train
2bkvfLDPzHk,147,playing mandolin,train
3pawubfvFek,107,tap dancing,train
2bnzTqx2P2g,73,"ice cream truck, ice cream van",train
2bsBaUn2Ztg,51,mouse clicking,train
0CrFJ3YqIbk,40,driving motorcycle,train
2bsBaUn2Ztg,409,mouse clicking,train
0cpzmeXrjnA,30,playing electric guitar,train
2biZ1Q1nBRk,30,playing bass guitar,train
3pawubfvFek,140,tap dancing,train
0cLwGNcBgWI,30,goose honking,train
2bpLImW7w7c,402,hail,train
3PAxXqeRF0A,30,playing electric guitar,train
0Cl-hSMESWU,80,playing banjo,test
2bt0yL69XNA,30,"playing violin, fiddle",test
0ckY3vP9DOM,30,playing bass guitar,train
3pBIi9Fjy9g,30,"motorboat, speedboat acceleration",train
2bpLImW7w7c,429,hail,train
0cjluZLFbp8,208,mynah bird singing,test
0cjluZLFbp8,176,mynah bird singing,train
2bq2lc3DLwM,30,car passing by,train
3PCVpLWlY3M,30,"playing violin, fiddle",train
0CJ210-E8yo,17,civil defense siren,test
0CIKvVzjEe0,186,playing squash,train
2bQCMGHQjI4,79,playing bass drum,train
0ci7fw-KS7E,180,helicopter,test
0CHR1deaevM,30,"playing violin, fiddle",test
2BjfVIjNPdU,0,eagle screaming,train
2bQCMGHQjI4,89,playing bass drum,test
3PeDxa3ggAk,50,civil defense siren,train
0Cfc0r3l5Ww,46,playing tabla,train
0Cfc0r3l5Ww,17,playing tabla,train
2cCpu0j_uR4,63,mosquito buzzing,train
0CETVAyddsM,76,dinosaurs bellowing,test
0CETVAyddsM,28,dinosaurs bellowing,train
0CEnn5iTIQ8,30,horse clip-clop,train
0Ce5FfqFKYY,130,playing saxophone,train
3-ph65sxfrI,231,"electric shaver, electric razor shaving",test
0cctolihx48,30,female singing,train
2c2V1q1AEQo,104,playing erhu,train
0c3075b7TJU,30,chicken crowing,train
2bvGjlgZ9Io,194,playing flute,train
2BvNwa-d7lk,109,playing sitar,test
2bwq60TMOmg,55,playing erhu,train
3PeDxa3ggAk,66,civil defense siren,test
0c8VNgC7cP0,30,"male speech, man speaking",train
2C4P_aYRC0o,6,lions roaring,train
0c7VOZ4NDvY,30,car passing by,train
3pI4o9J6Aag,160,car engine idling,train
0c-7KdGc2p8,357,playing squash,train
2C4P_aYRC0o,17,lions roaring,test
3pI4o9J6Aag,200,car engine idling,test
0c4VcUxJEAw,22,playing guiro,test
0c4VcUxJEAw,2,playing guiro,train
0C0ep4Z_FpU,30,chicken clucking,train
2bUMI9iDB7U,10,"subway, metro, underground",train
2bv4DbARrVw,56,people crowd,test
2bVl-Ui36Bw,85,duck quacking,test
3PFw-6Fh2fY,30,male singing,train
2-bZ_ua3pVM,13,swimming,test
2c6g-8T_mpE,100,playing piano,train
2cEhWZxAkvc,15,sliding door,test
0BXKhvov8nU,60,typing on computer keyboard,train
0BwUGJ50WSE,80,playing hammond organ,test
0BwTqCZKY-o,30,male singing,test
2BzsIU85lsg,100,"race car, auto racing",train
2cEhWZxAkvc,34,sliding door,train
0bVM7tR6tzA,30,playing electric guitar,train
3pG8P6m0E4I,30,baby crying,train
0bVdnV5aj0c,29,singing bowl,train
2BZuRp7rwXY,30,"male speech, man speaking",test
3PjtcoZbBZQ,166,beat boxing,test
0bswmQDwVCQ,60,playing hammond organ,train
0bsklcZwEns,290,"rowboat, canoe, kayak rowing",train
3pJUVMoajmM,29,lions roaring,train
0BsgVozqOEY,252,skiing,test
2ceyaaIqzko,50,"race car, auto racing",train
0BRXPCVI6Y4,432,fire truck siren,train
0BRXPCVI6Y4,236,fire truck siren,train
0BRrSOaUfxQ,377,playing double bass,train
2bXM60jdWUk,90,playing flute,train
3pJUVMoajmM,46,lions roaring,train
0bQYnfj_Mk0,30,car passing by,test
0BQX19428Qo,30,"motorboat, speedboat acceleration",test
0BqsnQYyWQ8,32,playing timpani,train
0bQdRu0RzOE,30,"female speech, woman speaking",train
3pkGoSVPczg,16,mouse squeaking,test
2bVl-Ui36Bw,95,duck quacking,train
2BwiNhqCOFg,160,toilet flushing,train
3pkGoSVPczg,34,mouse squeaking,train
2cBdAvV0_zs,80,toilet flushing,train
2CFKacqynO8,310,people eating noodle,train
0BLr7Yt_ehw,239,playing harpsichord,train
0bLMWd1bSVI,590,lions growling,train
2c1ndTY9RlI,30,playing acoustic guitar,test
2CFKacqynO8,474,people eating noodle,train
0BKDTGRdzn8,60,"race car, auto racing",train
0BJeWHLuLBQ,14,cricket chirping,train
0BJeWHLuLBQ,3,cricket chirping,test
0BjaYl_jm5c,54,playing electronic organ,test
0BjaYl_jm5c,41,playing electronic organ,train
0bj1ynHjnR8,26,cat meowing,train
2BxEqQtrkxQ,90,wind noise,test
3-ph65sxfrI,77,"electric shaver, electric razor shaving",train
2CGdHKtsVu0,706,people eating noodle,train
2chFiPWG1OA,175,metronome,train
3pLnDLDC9Ms,0,driving snowmobile,train
2cRtHlmkABA,82,warbler chirping,test
0bedv8B0ve0,31,playing accordion,test
2CNvgHpwD6w,20,playing piano,test
2Cs_eWFwJdE,19,playing gong,train
0BeYHgtGmyc,30,child singing,train
0BdQPL4sZvQ,20,playing piano,train
0BDnRWee0NU,30,playing acoustic guitar,train
3PmJCmZHniw,100,driving buses,test
2Cs_eWFwJdE,273,playing gong,test
0BCwRXcNWGI,30,ocean burbling,train
3PQMG6s6pjY,30,"playing violin, fiddle",train
2cs_LMErmlA,24,playing banjo,train
0BbNMmop7Q0,30,female singing,train
2CGdHKtsVu0,801,people eating noodle,train
2CLLMu5iENQ,99,playing mandolin,test
0b568XeApIs,90,chicken clucking,train
0b24w9l0flA,10,people screaming,train
2CLLMu5iENQ,258,playing mandolin,train
2cOZC5HNkTE,2,dog baying,test
2CT42EaIcm4,30,cat meowing,train
0b5pY41n1XI,54,chicken crowing,test
0b5pY41n1XI,3,chicken crowing,train
2cOZC5HNkTE,13,dog baying,train
3psAIQn38nk,34,golf driving,train
0B-3DMKtUZE,10,fire truck siren,test
0B3c1lYe5wY,91,playing badminton,train
0B-3DMKtUZE,0,fire truck siren,train
2clqL24tABc,30,playing acoustic guitar,train
3PO5rwrd6ok,173,playing harp,test
0b1P0_wju6U,149,printer printing,train
3pLnDLDC9Ms,10,driving snowmobile,train
3PO5rwrd6ok,190,playing harp,train
2ctt-MkWbPM,510,playing harp,train
0B_A43gA6fc,50,baby laughter,train
0aZZyAhkQR8,195,ice cracking,train
3poJu4RgSGc,73,playing tabla,test
0AzwtstgdU0,30,car passing by,test
2CqLYwtb3Rk,74,playing glockenspiel,train
0aZZyAhkQR8,145,ice cracking,train
2cHS2U1XWJM,55,playing harmonica,train
2Cjgp73avf0,280,"playing marimba, xylophone",train
3poJu4RgSGc,117,playing tabla,test
0aWak6IRE-w,30,wind noise,train
2CHb_23SriY,60,playing trumpet,test
2cI0VceC4LM,8,playing harpsichord,train
3ptwCmPgGNc,30,male singing,train
2cQyJV1DkC4,10,squishing water,test
0AS1ARh4tfQ,352,airplane flyby,train
2cQyJV1DkC4,34,squishing water,train
3Pu23jH2QvU,5,opening or closing drawers,train
0AS1ARh4tfQ,321,airplane flyby,train
2cVQZpQMrxY,30,male singing,test
0AqTVtGcKAk,12,tap dancing,train
0appLOeTIp8,30,playing electric guitar,train
2cwi8VT4QJE,10,car engine knocking,train
0aQoTA-ae64,85,typing on typewriter,train
2cRPzzZV8u0,155,orchestra,train
3pVA-QGwVco,30,chicken crowing,train
0aQJ0cPDA4Q,13,pheasant crowing,test
0-A-OGz9-Q4,67,lathe spinning,test
0aQJ0cPDA4Q,24,pheasant crowing,train
0aNRJmGOUFo,30,playing vibraphone,train
0-A-OGz9-Q4,1,lathe spinning,train
2cI0VceC4LM,59,playing harpsichord,train
3PVSh7dth8Q,90,sailing,train
2cMqpe-G9kc,91,toilet flushing,train
2cRtHlmkABA,29,warbler chirping,train
0aMKV7qleFI,30,playing electric guitar,train
0amJy5GparI,520,turkey gobbling,train
0Amcnq2FXuQ,90,playing harpsichord,train
3PW3OZELZFw,152,spraying water,train
0-aLIsbAKR8,23,playing bass guitar,train
0alAeNXv8To,30,car passing by,train
2CzC_UynMD8,786,playing bugle,train
3Pwq0hGMB4k,15,cap gun shooting,train
0AjVoocKAhc,240,playing trombone,train
2d43OFDr5aI,1,frog croaking,test
0AjAjqEwqLk,102,planing timber,train
0AiKBZEoB8c,307,beat boxing,train
-0aiCtGjNXE,30,"motorboat, speedboat acceleration",train
2d1kFAMiiHI,142,dinosaurs bellowing,train
2D91QvDkkJs,30,male singing,test
0agw5bKRPX8,570,church bell ringing,train
0AgurSvIBiI,314,playing tabla,train
0AgurSvIBiI,252,playing tabla,train
0AGEzKRpags,59,playing mandolin,train
0AGEzKRpags,31,playing mandolin,train
0aGA6Xdx-B0,17,driving buses,train
3pzYvGn-m_Q,49,playing tambourine,test
2d706p8UHHA,170,"race car, auto racing",train
0AFOq7PKDDo,20,skateboarding,train
0AeTs4p-VLE,250,"playing marimba, xylophone",train
3pzYvGn-m_Q,126,playing tambourine,train
2D1yULl576c,42,beat boxing,test
3Q_F2jiSdHI,30,male singing,train
2da6SvWTVks,13,horse clip-clop,train
0Ae0TjgPERk,30,"male speech, man speaking",train
0aDxXpN5XdA,847,playing tabla,train
0aDxXpN5XdA,506,playing tabla,train
0ADoVMsenLI,205,singing bowl,train
2D5AO9y80Ng,30,"playing violin, fiddle",train
3q0cl6qLihQ,173,playing snare drum,train
0AcaYTOIa70,30,playing accordion,train
3q0cl6qLihQ,231,playing snare drum,train
0aBogHjQDIw,373,dinosaurs bellowing,train
0aBogHjQDIw,108,dinosaurs bellowing,train
2d5BRTbgFog,30,duck quacking,train
0aB_rs0am6o,108,playing bassoon,test
0AAv0H5AdIc,8,lawn mowing,test
0aAQVEDRaeU,60,typing on computer keyboard,train
2dbSSa7bG9I,30,playing cello,train
0AalHtEEAFU,3,playing harp,test
3Pwq0hGMB4k,30,cap gun shooting,train
3Q0qZS8IALw,30,playing acoustic guitar,train
2CzC_UynMD8,770,playing bugle,train
3q1cUwMzetY,30,"playing marimba, xylophone",train
2czMiUOo3h0,170,playing trumpet,train
0a9vhajV3CY,30,male singing,train
2D_3utEp-TM,40,playing saxophone,train
3q-3H26pipU,30,playing acoustic guitar,train
2d6tlIZFRTw,78,cheetah chirrup,train
3Q4ZpXjU-yQ,30,"playing violin, fiddle",test
0A-8A3zrC98,80,playing bagpipes,train
3pYWAWVcWwU,13,playing gong,train
0-a1YTTAmRM,171,train wheels squealing,train
0-a1YTTAmRM,159,train wheels squealing,train
2DC5uZcrhcY,10,police car (siren),train
0-31nV2Hbgs,275,volcano explosion,train
0-8zKZWijP0,189,singing choir,train
0-8zKZWijP0,100,singing choir,train
3PWXxIB0EU4,2,tap dancing,test
3pYWAWVcWwU,324,playing gong,train
3Q6bR-1HMSQ,29,wind noise,train
0-0-T8Ic2lk,30,female singing,train
0-00uubiDNU,210,playing hammond organ,train
0_YtjxSNJcQ,16,horse neighing,test
2cZP2alATm8,410,"race car, auto racing",train
2-DCWDrBDVo,23,playing glockenspiel,train
0_wmKjGSi3M,25,"heart sounds, heartbeat",train
0_wmKjGSi3M,7,"heart sounds, heartbeat",test
-0_vEaaXndY,11,driving buses,train
0_tkVYBNfT4,242,tractor digging,test
0_tkVYBNfT4,152,tractor digging,test
0_tKs2LX0NQ,130,rope skipping,test
0_tKs2LX0NQ,64,rope skipping,train
0_T4Z_KuWGM,23,playing cornet,train
0_T4Z_KuWGM,4,playing cornet,train
0_skbUzy2Yw,30,female singing,test
0_ppreuPMuk,170,playing piano,train
2D9yY-BHDdg,170,playing clarinet,train
0_LWz68l138,30,playing electric guitar,train
2DXXAvNbm3k,549,beat boxing,train
0_kuKQlFKZg,0,cat purring,train
0_Kcz4ngESQ,57,"subway, metro, underground",test
2dy5JZACfsg,30,female singing,train
0_ixmalQrig,100,playing flute,train
0_IpxftJCCo,69,playing ukulele,train
0_IpxftJCCo,0,playing ukulele,train
3qfJKebhBTU,18,people slapping,train
2dQK9ttaVVk,30,playing electric guitar,train
2dQzoS6Usew,11,fireworks banging,train
3qFlYWwZ3OE,15,playing mandolin,train
2dT9hA8A18k,123,people babbling,train
2Duey4QUPe0,4,"pigeon, dove cooing",train
3qFlYWwZ3OE,39,playing mandolin,test
0_EUsss6HXY,80,ocean burbling,train
2dYpLr6_jZQ,30,"rowboat, canoe, kayak rowing",train
0_dhbCGDuio,60,people sniggering,test
3qFXQFnKt84,30,playing electronic organ,test
2DZabI7zwWM,2,hedge trimmer running,train
0_30QpW-NCU,110,playing cymbal,train
3-QdcdG1erA,46,pheasant crowing,test
3-QGJns54aU,30,playing acoustic guitar,train
2-DqE7SyN7g,320,people crowd,train
2dQmleM3HxE,30,waterfall burbling,test
3-QdcdG1erA,82,pheasant crowing,train
3qgtQ0qyuts,107,playing badminton,train
2dvEcri6G7k,19,opening or closing drawers,test
2DZabI7zwWM,59,hedge trimmer running,train
00Ud7c2WEoM,30,playing acoustic guitar,train
00R_wZJ8Y4o,20,splashing water,train
2dZN-_9Xb9k,10,playing piano,train
00pOYhQi0JY,0,playing ukulele,test
2e_33OW5YJo,160,playing theremin,train
00nfuIfLkcs,210,playing cymbal,train
00lSkiPKDO8,30,female singing,train
2dvgvZ0qNcg,40,driving buses,train
3QHNbJ_XATY,17,civil defense siren,train
00B3i6mzYN8,30,using sewing machines,train
00_do2b96M8,110,playing banjo,test
3qDzHyrsWeg,30,"motorboat, speedboat acceleration",test
3QHNbJ_XATY,36,civil defense siren,test
2DFN3mhhJaY,190,"bee, wasp, etc. buzzing",train
2dfshj7PQtI,7,cat purring,test
2dfshj7PQtI,99,cat purring,test
2DfWJTEGyhY,30,playing electric guitar,test
3Qe7p19aTY0,30,playing bass guitar,test
2DhB1K8UJqs,30,"playing violin, fiddle",train
3Qi_BaErhPE,30,"engine accelerating, revving, vroom",test
2DHqUyqKmqA,30,playing electric guitar,test
2dih3AAlObo,10,basketball bounce,train
2diTm8p7mTQ,40,orchestra,train
2DJ4hgmwbcU,30,playing acoustic guitar,test
2DJdbL9v8rs,70,playing electric guitar,train
2dJoctdoKig,56,mosquito buzzing,train
2djYfdmB6Mk,60,playing acoustic guitar,test
3qebnkmvjiw,152,playing synthesizer,train
2dkwV5ECo7Y,30,child singing,train
2dlDWVvS1k0,92,playing castanets,train
2DM5aKUgAC4,333,bowling impact,train
2DM5aKUgAC4,520,bowling impact,test
2dNEVAF3X2E,30,"playing violin, fiddle",train
2DnizjVLLi4,911,firing muskets,train
2DNYWLxVhY8,0,cat hissing,train
2DNYWLxVhY8,10,cat hissing,train
2doTYxZzbTU,31,dog growling,train
2doTYxZzbTU,83,dog growling,train
3QKfLG7mauA,138,basketball bounce,test
2dQZlFSue0g,30,playing acoustic guitar,train
2-DrRdDydNo,370,train horning,train
2dT9hA8A18k,78,people babbling,train
2DTNujKQXAk,102,train whistling,test
2dw6t-q098U,16,people burping,train
2EXmIj3oWA8,80,playing harpsichord,test
3qLonLZHtE8,210,playing cymbal,train
3qNRUI2bdT8,30,"playing violin, fiddle",train
3qt1J_CBfX0,41,bowling impact,train
3QuXpjfjkfs,3,"vehicle horn, car horn, honking",test
3QYljx7R1PQ,239,playing bassoon,test
2f_MMVvjBTQ,27,playing glockenspiel,test
3qpHpgWjrz0,19,crow cawing,train
2f4C2QcLOjw,20,using sewing machines,train
3Qzk1nQ3a7Q,70,waterfall burbling,test
2F4z6NcVZCA,23,parrot talking,train
2F4z6NcVZCA,60,parrot talking,train
3qpHpgWjrz0,29,crow cawing,train
2-f8HrV-bGk,90,playing bagpipes,test
3-qL2erINcU,541,airplane flyby,test
3QLfrdtGbBA,20,church bell ringing,train
3r2p_YDurt4,10,car passing by,train
2fCC4BkdMT0,20,basketball bounce,train
2fCC4BkdMT0,106,basketball bounce,train
2FCpbpy7hFc,50,driving motorcycle,train
2FDHUwcH5C8,61,strike lighter,train
2FDHUwcH5C8,86,strike lighter,test
2FebVhmmuZo,60,playing clarinet,train
3Qo-JwqcEJ4,30,"playing violin, fiddle",test
3qViFNEU9ak,30,playing electric guitar,test
2fF8YPhDFUY,214,typing on computer keyboard,test
2fF8YPhDFUY,279,typing on computer keyboard,test
2fFt-u_EP7A,30,"motorboat, speedboat acceleration",train
3QR8_ZVk8G4,160,dog barking,train
2FilJ012FCk,120,playing synthesizer,train
2fIX-p9h_q0,180,helicopter,train
2fKa9tQwQLk,70,people belly laughing,train
2FKC9GpKN0w,70,playing glockenspiel,test
2FKC9GpKN0w,82,playing glockenspiel,test
2Fkh-PUx2SA,70,playing banjo,train
2F-kJinx4-c,140,skidding,train
2FKNEcM0NAQ,57,"playing steel guitar, slide guitar",train
2FKNEcM0NAQ,355,"playing steel guitar, slide guitar",train
3Q-Wab_0rKo,204,playing volleyball,train
2flwkjD4mPQ,31,chicken crowing,test
3r6w5lzuUAk,225,playing erhu,train
2fNLIsuNwf8,18,gibbon howling,test
2fNLIsuNwf8,50,gibbon howling,train
2fnqXRC_Abc,149,skateboarding,train
2fnqXRC_Abc,376,skateboarding,train
3QugU7EqpHg,30,police car (siren),test
3r6y7bG4RjQ,166,"electric shaver, electric razor shaving",test
2fpyWh6LWCI,30,driving buses,train
3R7JoTU45pE,69,dog baying,train
2Fr1AKOjcEY,30,female singing,test
3QU-wNgu9ok,30,playing harp,train
3R7JoTU45pE,128,dog baying,train
2fs4lMZyoZU,295,baby laughter,test
2fs4lMZyoZU,524,baby laughter,test
2fs7T-q4tJU,30,playing bass guitar,train
2fSgBMqlwOg,30,male singing,test
2fsWqejVnC0,5,skateboarding,train
3RDk19pu7xA,17,police car (siren),train
3Rl1RtbYCxA,30,playing electric guitar,train
2fUZzRSwlbA,30,male singing,test
3rebHmqy2jM,225,yodelling,train
2fXAhUMnoiA,16,opening or closing drawers,test
3rGVkZS8KL4,129,playing squash,train
2fY9blcJPrk,30,playing electric guitar,train
3rGVkZS8KL4,293,playing squash,train
2G2geuss0IM,1,playing tabla,train
2G2geuss0IM,24,playing tabla,train
3rLAyCCIqA4,21,people marching,train
2G2ZtyZk4eM,135,canary calling,test
2G2ZtyZk4eM,228,canary calling,test
3rLAyCCIqA4,106,people marching,train
2G4_eviie4w,30,people screaming,train
2g4JFTg-I-4,20,playing vibraphone,train
3rH-hBdsxcU,5,playing timpani,train
2g6IWK1WCeo,30,playing electric guitar,train
2g6MRr5jsKY,69,skiing,test
2g6MRr5jsKY,79,skiing,train
2g38bV9dlD8,16,black capped chickadee calling,test
2g67PoMT2vU,20,pheasant crowing,train
2g67PoMT2vU,31,pheasant crowing,test
2G95ke7F8Fs,90,"railroad car, train wagon",train
2GazhnR3jjs,58,playing castanets,train
2GazhnR3jjs,112,playing castanets,train
2GB8Z903Rqc,30,male singing,train
2GCIWbwQqto,30,male singing,train
2gdXKutPAk0,30,"engine accelerating, revving, vroom",test
2gecnZTaDV0,1,cap gun shooting,test
3rBUNCC6EuU,30,playing cymbal,train
3rf6-9LMshs,30,playing acoustic guitar,train
3RN24S2HOWU,30,playing banjo,train
2gGXDTRAVQ4,16,hail,train
2gGXDTRAVQ4,103,hail,train
3R579VFW_5Q,10,sailing,train
3rBzGWbsqsY,30,chopping wood,train
3rjzRMZs4Q0,30,playing bagpipes,train
2GhcBfwATSY,2,wind noise,train
2gI_NmslrQA,50,"railroad car, train wagon",test
3R-cAZGb1uE,520,playing saxophone,test
3RFbxKqgMGw,130,rapping,train
2GmJKobPYGs,270,people crowd,train
2gMxdkfgE3M,407,playing hammond organ,test
2Gn5d7jfP3Y,323,tapping guitar,test
2Gn5d7jfP3Y,523,tapping guitar,train
2GnQis8YHhk,30,waterfall burbling,test
3rnvViBVuBU,30,"female speech, woman speaking",test
2goERhVpbAw,30,"playing violin, fiddle",train
3RkoH7aOS7Y,30,chicken clucking,train
3RoezOKCFFU,90,playing accordion,test
2GPiI8T-t60,19,playing timbales,test
2GPiI8T-t60,33,playing timbales,test
2GQ7fHIa-dw,280,dog bow-wow,train
3RABCekbY1Q,80,helicopter,train
2GQMtmYb6ko,70,playing piano,test
3RotlVP_Nog,440,eating with cutlery,train
3RrKVjT8ckk,10,wind rustling leaves,train
3RWkWpPkj_o,140,playing acoustic guitar,train
2GtnX51t29o,30,baby crying,train
3s0i-tQfrcU,30,female singing,train
2Gucb1OAT_c,30,playing french horn,train
3s0QRMuXTnE,60,playing banjo,train
2gUINOzuPAk,0,bathroom ventilation fan running,train
2gUPSGIZxA8,78,slot machine,test
2GUSVLMT_f0,280,playing mandolin,test
2GUSVLMT_f0,895,playing mandolin,train
3ROkzA4MQAQ,30,people running,train
3RpafqDcGGU,0,fireworks banging,train
3RrSgJrfVQQ,30,male singing,train
2GwnF4P1wmE,42,playing squash,train
2GwnF4P1wmE,177,playing squash,train
3roTh_P6biI,200,male singing,test
3RQ3tFXCwAw,390,people crowd,train
3rWX6xtk3Ls,13,goose honking,train
3S2_AgzPE2c,0,rope skipping,train
2GzMpG7xjuo,30,"male speech, man speaking",train
3S2_AgzPE2c,32,rope skipping,train
2H0kdvHL4MA,310,people clapping,train
3rWX6xtk3Ls,23,goose honking,test
2h5puR8Z_5k,58,playing sitar,train
2H9RFj6cNE4,35,cat hissing,test
3R-V5KOcsfQ,1,cricket chirping,train
2haVZc--rC8,157,playing cornet,test
2haVZc--rC8,258,playing cornet,test
2hb2kFmnUmI,30,male singing,train
3R-V5KOcsfQ,21,cricket chirping,train
3Rxj5wZjVp8,442,playing bass guitar,train
2HCGlWxN1Tk,30,playing acoustic guitar,train
2HCTelGQ5LU,30,sliding door,train
3rvgRUCmEpY,30,"playing marimba, xylophone",test
2HdaWygLPPo,30,playing piano,train
2hDjXu2mgGk,111,reversing beeps,train
2hdK1BEE9VE,96,people marching,train
2hdK1BEE9VE,110,people marching,train
3RT39tfrYiA,14,rapping,train
3RVmyIRWZNY,40,machine gun shooting,train
3rxwXCAkvpU,83,playing steelpan,train
3S6AI4vvHMA,12,playing glockenspiel,train
2he57w-Abu4,90,tap dancing,train
3S6AI4vvHMA,45,playing glockenspiel,train
2heOTzDD0oU,20,skateboarding,train
2-hfyGTLwsI,30,playing acoustic guitar,train
2hG4FANsOQg,30,"female speech, woman speaking",train
2hgNwfLpFt8,45,"playing marimba, xylophone",test
3Ry9UWTzBcI,293,playing badminton,train
2hhaxOZmJsY,694,airplane,train
